Source,Target,Weight
@UbedaMichel,@APechtold,3
@UbedaMichel,@AcrisiuS322,1
@UbedaMichel,@D66,2
@UbedaMichel,@Gazendam_Petra,1
@UbedaMichel,@IrEnriqueCortes,1
@UbedaMichel,@JoostNiemoller,1
@UbedaMichel,@KajsaOllongren,1
@UbedaMichel,@MinPres,2
@UbedaMichel,@NEXITIUS,1
@UbedaMichel,@NOS,1
@UbedaMichel,@PerSlotVan,2
@UbedaMichel,@RuttenWillem,1
@UbedaMichel,@SLECHTVOLK,1
@UbedaMichel,@Stormtroepen,1
@UbedaMichel,@VVD,2
@UbedaMichel,@geertwilderspvv,2
@UbedaMichel,@klaasdijkhoff,1
@UbedaMichel,@ronald_brok,2
@UbedaMichel,@telegraaf,3
@UbedaMichel,@yvonne97489113,1
@PhotoIetje,@gem_westerveld,1
@PhotoIetje,@telegraaf,1
@RimhadJomtien,@100BNers,1
@RimhadJomtien,@4resist,1
@RimhadJomtien,@AEFIPbv,2
@RimhadJomtien,@ANanninga,9
@RimhadJomtien,@APechtold,103
@RimhadJomtien,@AWJAvanHattem,1
@RimhadJomtien,@Aambeienjam1,1
@RimhadJomtien,@AbelFris,1
@RimhadJomtien,@AdriaanBeenen,1
@RimhadJomtien,@Aethonaia,1
@RimhadJomtien,@AfshinEllian1,1
@RimhadJomtien,@AmyRoos3,1
@RimhadJomtien,@AndriesHeidema,1
@RimhadJomtien,@AnkJuf,1
@RimhadJomtien,@AnthonySc6,1
@RimhadJomtien,@AriePaap,1
@RimhadJomtien,@ArmeZeeuw,1
@RimhadJomtien,@Arnout_Maat,1
@RimhadJomtien,@AvSchoot,4
@RimhadJomtien,@AvigailAsuss,1
@RimhadJomtien,@BLIKOPENER333,7
@RimhadJomtien,@BartZijp,1
@RimhadJomtien,@BarthCarlo,1
@RimhadJomtien,@Bartissimus,1
@RimhadJomtien,@Bataaf1949,1
@RimhadJomtien,@Beerie18,1
@RimhadJomtien,@Belastingdienst,1
@RimhadJomtien,@Benavra,1
@RimhadJomtien,@BeterNRE,1
@RimhadJomtien,@Blankedixie,2
@RimhadJomtien,@BrazzaPietro,1
@RimhadJomtien,@Breinbrouwsels,9
@RimhadJomtien,@CGBattistini,1
@RimhadJomtien,@CallingVisser,4
@RimhadJomtien,@CarelBrendel,1
@RimhadJomtien,@CarlSchroder1,1
@RimhadJomtien,@CnnSpin,1
@RimhadJomtien,@D66,84
@RimhadJomtien,@D66Rijswijk,1
@RimhadJomtien,@D66Rotterdam,1
@RimhadJomtien,@DDStandaard,8
@RimhadJomtien,@DamndItsGood,3
