Source,Target,Type,Id,Label,timeset,Weight
@@leendertdelange,@MarijnissenL,Directed,0,,,5
@@leendertdelange,@RenskeLeijten,Directed,1,,,1
@@leendertdelange,@dijkhoff,Directed,2,,,1
@@leendertdelange,@peterkwint,Directed,3,,,1
@@leendertdelange,@thierrybaudet,Directed,4,,,14
@@poortvli,@MarijnissenL,Directed,5,,,5
@@poortvli,@RenskeLeijten,Directed,6,,,1
@@poortvli,@dijkhoff,Directed,7,,,1
@@poortvli,@peterkwint,Directed,8,,,1
@@poortvli,@thierrybaudet,Directed,9,,,14
@@sneller,@MarijnissenL,Directed,10,,,5
@@sneller,@RenskeLeijten,Directed,11,,,1
@@sneller,@dijkhoff,Directed,12,,,1
@@sneller,@peterkwint,Directed,13,,,1
@@sneller,@thierrybaudet,Directed,14,,,14
@APechtold,@APechtold,Directed,15,,,23
@APechtold,@GroothuizenD66,Directed,16,,,1
@APechtold,@JobaCDA,Directed,17,,,1
@APechtold,@KeesVee,Directed,18,,,3
@APechtold,@LodewijkA,Directed,19,,,1
@APechtold,@Paul_van_Meenen,Directed,20,,,2
@APechtold,@RobJetten,Directed,21,,,4
@APechtold,@geertwilderspvv,Directed,22,,,2
@APechtold,@jpaternotte,Directed,23,,,2
@APechtold,@piadijkstra,Directed,24,,,1
@APechtold,@svanweyenberg,Directed,25,,,1
@APechtold,@swsjoerdsma,Directed,26,,,6
@APechtold,@thierrybaudet,Directed,27,,,2
@AgnesMulderCDA,@AgnesMulderCDA,Directed,28,,,29
@AgnesMulderCDA,@AntjeDiertens,Directed,29,,,1
@AgnesMulderCDA,@DilanYesilgoz,Directed,30,,,3
@AgnesMulderCDA,@ErikRonnes,Directed,31,,,1
@AgnesMulderCDA,@HanTenBroeke,Directed,32,,,1
@AgnesMulderCDA,@JacoGeurts,Directed,33,,,1
@AgnesMulderCDA,@JobaCDA,Directed,34,,,4
@AgnesMulderCDA,@JoelVoordewind,Directed,35,,,1
@AgnesMulderCDA,@MvanToorenburg,Directed,36,,,3
@AgnesMulderCDA,@RobJetten,Directed,37,,,5
@AgnesMulderCDA,@SalimaBelhaj,Directed,38,,,1
@AgnesMulderCDA,@TjeerdD66,Directed,39,,,1
@AgnesMulderCDA,@TomvanderLee,Directed,40,,,2
@AgnesMulderCDA,@WassenbergFrank,Directed,41,,,1
@AgnesMulderCDA,@ZelYassini,Directed,42,,,1
@AgnesMulderCDA,@aukjedevries,Directed,43,,,2
@AgnesMulderCDA,@carladikfaber,Directed,44,,,3
@AgnesMulderCDA,@harryvdmolen,Directed,45,,,2
@AgnesMulderCDA,@keesvdstaaij,Directed,46,,,1
@AgnesMulderCDA,@kirstenvdhul,Directed,47,,,1
@AgnesMulderCDA,@mvonmartels,Directed,48,,,1
@AgnesMulderCDA,@remcovvd,Directed,49,,,2
@AgnesMulderCDA,@suzanne_GL,Directed,50,,,1
@AgnesMulderCDA,@swsjoerdsma,Directed,51,,,1
@AgnesMulderCDA,@sybrandbuma,Directed,52,,,1
@AgnesMulderCDA,@wmoorlag,Directed,53,,,1
@AnneKuik,@AgnesMulderCDA,Directed,54,,,12
@AnneKuik,@AnneKuik,Directed,55,,,19
@AnneKuik,@BisschopRoelof,Directed,56,,,1
@AnneKuik,@DennisWiersma,Directed,57,,,1
@AnneKuik,@ErikRonnes,Directed,58,,,5
@AnneKuik,@EvertJanSlootwe,Directed,59,,,1
@AnneKuik,@JobaCDA,Directed,60,,,3
@AnneKuik,@MvanToorenburg,Directed,61,,,1
@AnneKuik,@SalimaBelhaj,Directed,62,,,1
@AnneKuik,@StienekevdGraaf,Directed,63,,,1
@AnneKuik,@chris_stoffer,Directed,64,,,1
@AnneKuik,@gertjansegers,Directed,65,,,1
@AnneKuik,@harryvdmolen,Directed,66,,,8
@AnneKuik,@keesvdstaaij,Directed,67,,,1
@AnneKuik,@kirstenvdhul,Directed,68,,,1
@AnneKuik,@michelrog,Directed,69,,,1
@AnneKuik,@mvonmartels,Directed,70,,,1
@AnneKuik,@sybrandbuma,Directed,71,,,1
@AntjeDiertens,@APechtold,Directed,72,,,3
@AntjeDiertens,@AgnesMulderCDA,Directed,73,,,1
@AntjeDiertens,@AntjeDiertens,Directed,74,,,6
@AntjeDiertens,@GroothuizenD66,Directed,75,,,4
@AntjeDiertens,@JobaCDA,Directed,76,,,1
@AntjeDiertens,@KeesVee,Directed,77,,,1
@AntjeDiertens,@MatthijsSienot,Directed,78,,,1
@AntjeDiertens,@Paul_van_Meenen,Directed,79,,,1
@AntjeDiertens,@RobJetten,Directed,80,,,11
@AntjeDiertens,@SalimaBelhaj,Directed,81,,,4
@AntjeDiertens,@TjeerdD66,Directed,82,,,9
@AntjeDiertens,@Vera_Bergkamp,Directed,83,,,1
@AntjeDiertens,@ZelYassini,Directed,84,,,1
@AntjeDiertens,@achrafboualiD66,Directed,85,,,1
@AntjeDiertens,@foortvanoosten,Directed,86,,,1
@AntjeDiertens,@kirstenvdhul,Directed,87,,,1
@AntjeDiertens,@peterkwint,Directed,88,,,1
@AntjeDiertens,@piadijkstra,Directed,89,,,2
@AntjeDiertens,@rudmer,Directed,90,,,1
@AntjeDiertens,@svanweyenberg,Directed,91,,,3
@AntjeDiertens,@swsjoerdsma,Directed,92,,,2
@Antoinettelaan,@Antoinettelaan,Directed,93,,,10
@Antoinettelaan,@DennisWiersma,Directed,94,,,3
@Antoinettelaan,@DilanYesilgoz,Directed,95,,,1
@Antoinettelaan,@HanTenBroeke,Directed,96,,,1
@Antoinettelaan,@HelmaLodders,Directed,97,,,1
@Antoinettelaan,@JeanineHennis,Directed,98,,,1
@Antoinettelaan,@SalimaBelhaj,Directed,99,,,2
@Antoinettelaan,@Vera_Bergkamp,Directed,100,,,1
@Antoinettelaan,@Worsdorfer,Directed,101,,,1
@Antoinettelaan,@ZelYassini,Directed,102,,,1
@Antoinettelaan,@andrebosman,Directed,103,,,1
@Antoinettelaan,@arnorutte,Directed,104,,,2
@Antoinettelaan,@aukjedevries,Directed,105,,,4
@Antoinettelaan,@bentebecker,Directed,106,,,1
@Antoinettelaan,@erikziengs,Directed,107,,,1
@Antoinettelaan,@harryvdmolen,Directed,108,,,1
@Antoinettelaan,@peterkwint,Directed,109,,,3
@Antoinettelaan,@piadijkstra,Directed,110,,,1
@Antoinettelaan,@rudmer,Directed,111,,,1
@AntoonKanis,@AntoonKanis,Directed,112,,,3
@AntoonKanis,@MahirAlkaya,Directed,113,,,1
@AntoonKanis,@RobJetten,Directed,114,,,4
@AntoonKanis,@TjeerdD66,Directed,115,,,10
@AntoonKanis,@Vera_Bergkamp,Directed,116,,,1
@AntoonKanis,@eppobruins,Directed,117,,,3
@AntoonKanis,@jpaternotte,Directed,118,,,5
@ArneWeverling,@ArneWeverling,Directed,119,,,10
@ArneWeverling,@DilanYesilgoz,Directed,120,,,1
@ArneWeverling,@HelmaLodders,Directed,121,,,5
@ArneWeverling,@JacoGeurts,Directed,122,,,1
@ArneWeverling,@TomvanderLee,Directed,123,,,1
@ArneWeverling,@Worsdorfer,Directed,124,,,2
@ArneWeverling,@ZelYassini,Directed,125,,,1
@ArneWeverling,@carladikfaber,Directed,126,,,1
@ArneWeverling,@dijkhoff,Directed,127,,,1
@ArneWeverling,@foortvanoosten,Directed,128,,,1
@AvandenBoschVVD,@ArneWeverling,Directed,129,,,1
@AvandenBoschVVD,@AvandenBoschVVD,Directed,130,,,2
@AvandenBoschVVD,@DilanYesilgoz,Directed,131,,,1
@AvandenBoschVVD,@HanTenBroeke,Directed,132,,,2
@AvandenBoschVVD,@HankeBruinsSlot,Directed,133,,,1
@AvandenBoschVVD,@Jan_Middendorp,Directed,134,,,4
@AvandenBoschVVD,@Martijncda,Directed,135,,,1
@AvandenBoschVVD,@RobJetten,Directed,136,,,2
@AvandenBoschVVD,@a_mulder,Directed,137,,,4
@AvandenBoschVVD,@achrafboualiD66,Directed,138,,,2
@AvandenBoschVVD,@andrebosman,Directed,139,,,1
@AvandenBoschVVD,@arnorutte,Directed,140,,,1
@AvandenBoschVVD,@bentebecker,Directed,141,,,9
@AvandenBoschVVD,@danielkoerhuis,Directed,142,,,3
@AvandenBoschVVD,@foortvanoosten,Directed,143,,,3
@AvandenBoschVVD,@gertjansegers,Directed,144,,,1
@AvandenBoschVVD,@jpaternotte,Directed,145,,,1
@AvandenBoschVVD,@keesvdstaaij,Directed,146,,,1
@AvandenBoschVVD,@remcovvd,Directed,147,,,4
@AvandenBoschVVD,@rudmer,Directed,148,,,1
@AvandenBoschVVD,@thierrybaudet,Directed,149,,,1
@BisschopRoelof,@AnneKuik,Directed,150,,,1
@BisschopRoelof,@ArneWeverling,Directed,151,,,1
@BisschopRoelof,@BisschopRoelof,Directed,152,,,12
@BisschopRoelof,@JacoGeurts,Directed,153,,,1
@BisschopRoelof,@JaspervanDijkSP,Directed,154,,,1
@BisschopRoelof,@Paul_van_Meenen,Directed,155,,,1
@BisschopRoelof,@carladikfaber,Directed,156,,,2
@BisschopRoelof,@chris_stoffer,Directed,157,,,6
@BisschopRoelof,@eppobruins,Directed,158,,,2
@BisschopRoelof,@harryvdmolen,Directed,159,,,1
@BisschopRoelof,@jesseklaver,Directed,160,,,1
@BisschopRoelof,@jpaternotte,Directed,161,,,1
@BisschopRoelof,@keesvdstaaij,Directed,162,,,9
@BisschopRoelof,@michelrog,Directed,163,,,4
@BisschopRoelof,@peterkwint,Directed,164,,,1
@BisschopRoelof,@thierrybaudet,Directed,165,,,1
@BramvanOjikGL,@APechtold,Directed,166,,,1
@BramvanOjikGL,@BramvanOjikGL,Directed,167,,,6
@BramvanOjikGL,@HanTenBroeke,Directed,168,,,2
@BramvanOjikGL,@IsabelleDiks,Directed,169,,,1
@BramvanOjikGL,@LodewijkA,Directed,170,,,1
@BramvanOjikGL,@RenskeLeijten,Directed,171,,,1
@BramvanOjikGL,@jesseklaver,Directed,172,,,4
@CemLacin,@CemLacin,Directed,173,,,12
@CemLacin,@CvanBrenk,Directed,174,,,4
@CemLacin,@FrankFutselaar,Directed,175,,,1
@CemLacin,@JaspervanDijkSP,Directed,176,,,1
@CemLacin,@JessicaVanEijs,Directed,177,,,1
@CemLacin,@LammertvanRaan,Directed,178,,,6
@CemLacin,@MahirAlkaya,Directed,179,,,1
@CemLacin,@MarijnissenL,Directed,180,,,6
@CemLacin,@MatthijsSienot,Directed,181,,,1
@CemLacin,@MustafaAmhaouch,Directed,182,,,1
@CemLacin,@RenskeLeijten,Directed,183,,,2
@CemLacin,@RidderDionGraus,Directed,184,,,1
@CemLacin,@SadetKarabulut,Directed,185,,,11
@CemLacin,@SandraBeckerman,Directed,186,,,1
@CemLacin,@dijkvangijs,Directed,187,,,2
@CemLacin,@erikziengs,Directed,188,,,1
@CemLacin,@jesseklaver,Directed,189,,,1
@CemLacin,@jpaternotte,Directed,190,,,1
@CemLacin,@mvonmartels,Directed,191,,,1
@CemLacin,@peterkwint,Directed,192,,,3
@CemLacin,@remcovvd,Directed,193,,,25
@CemLacin,@rvanaalst,Directed,194,,,1
@CemLacin,@suzanne_GL,Directed,195,,,11
@CorinneEllemeet,@BramvanOjikGL,Directed,196,,,2
@CorinneEllemeet,@CorinneEllemeet,Directed,197,,,18
@CorinneEllemeet,@JobaCDA,Directed,198,,,1
@CorinneEllemeet,@LauraBromet,Directed,199,,,2
@CorinneEllemeet,@Lisawesterveld,Directed,200,,,5
@CorinneEllemeet,@LodewijkA,Directed,201,,,1
@CorinneEllemeet,@MaartenHijink,Directed,202,,,1
@CorinneEllemeet,@PaulSmeulders,Directed,203,,,2
