Id,Label,timeset
@@leendertdelange,@@leendertdelange,
@MarijnissenL,@MarijnissenL,
@RenskeLeijten,@RenskeLeijten,
@dijkhoff,@dijkhoff,
@peterkwint,@peterkwint,
@thierrybaudet,@thierrybaudet,
@@poortvli,@@poortvli,
@@sneller,@@sneller,
@APechtold,@APechtold,
@GroothuizenD66,@GroothuizenD66,
@JobaCDA,@JobaCDA,
@KeesVee,@KeesVee,
@LodewijkA,@LodewijkA,
@Paul_van_Meenen,@Paul_van_Meenen,
@RobJetten,@RobJetten,
@geertwilderspvv,@geertwilderspvv,
@jpaternotte,@jpaternotte,
@piadijkstra,@piadijkstra,
@svanweyenberg,@svanweyenberg,
@swsjoerdsma,@swsjoerdsma,
@AgnesMulderCDA,@AgnesMulderCDA,
@AntjeDiertens,@AntjeDiertens,
@DilanYesilgoz,@DilanYesilgoz,
@ErikRonnes,@ErikRonnes,
@HanTenBroeke,@HanTenBroeke,
@JacoGeurts,@JacoGeurts,
@JoelVoordewind,@JoelVoordewind,
@MvanToorenburg,@MvanToorenburg,
@SalimaBelhaj,@SalimaBelhaj,
@TjeerdD66,@TjeerdD66,
@TomvanderLee,@TomvanderLee,
@WassenbergFrank,@WassenbergFrank,
@ZelYassini,@ZelYassini,
@aukjedevries,@aukjedevries,
@carladikfaber,@carladikfaber,
@harryvdmolen,@harryvdmolen,
@keesvdstaaij,@keesvdstaaij,
@kirstenvdhul,@kirstenvdhul,
@mvonmartels,@mvonmartels,
@remcovvd,@remcovvd,
@suzanne_GL,@suzanne_GL,
@sybrandbuma,@sybrandbuma,
@wmoorlag,@wmoorlag,
@AnneKuik,@AnneKuik,
@BisschopRoelof,@BisschopRoelof,
@DennisWiersma,@DennisWiersma,
@EvertJanSlootwe,@EvertJanSlootwe,
@StienekevdGraaf,@StienekevdGraaf,
@chris_stoffer,@chris_stoffer,
@gertjansegers,@gertjansegers,
@michelrog,@michelrog,
@MatthijsSienot,@MatthijsSienot,
@Vera_Bergkamp,@Vera_Bergkamp,
@achrafboualiD66,@achrafboualiD66,
@foortvanoosten,@foortvanoosten,
@rudmer,@rudmer,
@Antoinettelaan,@Antoinettelaan,
@HelmaLodders,@HelmaLodders,
@JeanineHennis,@JeanineHennis,
@Worsdorfer,@Worsdorfer,
@andrebosman,@andrebosman,
@arnorutte,@arnorutte,
@bentebecker,@bentebecker,
@erikziengs,@erikziengs,
@AntoonKanis,@AntoonKanis,
@MahirAlkaya,@MahirAlkaya,
@eppobruins,@eppobruins,
@ArneWeverling,@ArneWeverling,
@AvandenBoschVVD,@AvandenBoschVVD,
@HankeBruinsSlot,@HankeBruinsSlot,
@Jan_Middendorp,@Jan_Middendorp,
@Martijncda,@Martijncda,
@a_mulder,@a_mulder,
@danielkoerhuis,@danielkoerhuis,
@JaspervanDijkSP,@JaspervanDijkSP,
@jesseklaver,@jesseklaver,
@BramvanOjikGL,@BramvanOjikGL,
@IsabelleDiks,@IsabelleDiks,
@CemLacin,@CemLacin,
@CvanBrenk,@CvanBrenk,
@FrankFutselaar,@FrankFutselaar,
@JessicaVanEijs,@JessicaVanEijs,
@LammertvanRaan,@LammertvanRaan,
@MustafaAmhaouch,@MustafaAmhaouch,
@RidderDionGraus,@RidderDionGraus,
@SadetKarabulut,@SadetKarabulut,
@SandraBeckerman,@SandraBeckerman,
@dijkvangijs,@dijkvangijs,
@rvanaalst,@rvanaalst,
@CorinneEllemeet,@CorinneEllemeet,
@LauraBromet,@LauraBromet,
@Lisawesterveld,@Lisawesterveld,
