Id,Label,timeset,partij,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,clustering,triangles
@@leendertdelange,@@leendertdelange,,vvd,0,5,5,0,22,22,5,0.355091,0.388725,0,0,0.7,7
@@poortvli,@@poortvli,,cda,0,5,5,0,22,22,5,0.355091,0.388725,0,0,0.7,7
@@sneller,@@sneller,,d66,0,5,5,0,22,22,5,0.355091,0.388725,0,0,0.7,7
@APechtold,@APechtold,,d66,26,13,39,113,49,162,4,0.428571,0.475926,181.408914,0.70199,0.388506,169
@AgnesMulderCDA,@AgnesMulderCDA,,cda,18,26,44,70,71,141,5,0.48913,0.55642,240.401397,0.445495,0.332661,165
@AnneKuik,@AnneKuik,,cda,17,18,35,42,60,102,5,0.45,0.508272,168.050699,0.417376,0.356667,107
@AntjeDiertens,@AntjeDiertens,,d66,17,21,38,33,56,89,5,0.480427,0.537901,167.559457,0.422277,0.483077,157
@Antoinettelaan,@Antoinettelaan,,vvd,17,19,36,30,37,67,5,0.463918,0.520617,333.512041,0.351463,0.373219,131
@AntoonKanis,@AntoonKanis,,sp,3,7,10,5,27,32,5,0.406627,0.443457,4.856545,0.077358,0.47619,10
@ArneWeverling,@ArneWeverling,,vvd,19,10,29,39,24,63,5,0.417957,0.460123,104.345304,0.381625,0.427536,118
@AvandenBoschVVD,@AvandenBoschVVD,,vvd,10,21,31,17,46,63,5,0.467128,0.528025,65.501271,0.233879,0.423333,127
@BisschopRoelof,@BisschopRoelof,,sgp,12,16,28,27,45,72,5,0.445545,0.499012,185.905377,0.280937,0.300725,83
@BramvanOjikGL,@BramvanOjikGL,,gl,17,7,24,36,16,52,5,0.401786,0.437284,70.282863,0.474747,0.347368,66
@CemLacin,@CemLacin,,sp,15,23,38,47,95,142,4,0.501859,0.556173,350.681591,0.395476,0.396923,129
@ChrisvanDam,,,cda,0,0,0,0,0,0,0,0,0,0,0,0,0
@CorinneEllemeet,@CorinneEllemeet,,gl,14,18,32,35,53,88,5,0.436893,0.49716,214.551924,0.323304,0.365942,101
@CvanBrenk,@CvanBrenk,,50plus,20,15,35,77,58,135,5,0.459184,0.507037,200.757963,0.560899,0.376667,113
@Danai_PVV,@Danai_PVV,,pvv,1,13,14,3,94,97,4,0.387931,0.441358,5.462278,0.002562,0.641026,50
@DennisWiersma,@DennisWiersma,,vvd,22,17,39,86,44,130,5,0.456081,0.509506,254.546357,0.482114,0.413793,180
